# step time total_mass total_momentum_x total_momentum_y total_energy
0 0 200.23427575617237 200.23427575617237 0 9039.1473150023521
100 0.17461508195491088 200.23422704864515 199.08074964224639 -4.1215652612290378e-05 9039.1440991734598
200 0.34978530184265738 200.23407814329519 198.59638934913733 -0.00013696312931067364 9039.134556220286
300 0.52592761664810861 200.23379274477034 198.37086762454072 -0.00025576052278367481 9039.1170281309423
400 0.70321579352102559 200.23425949876605 198.20805190787479 -0.00038269183132480115 9039.1423979561896
500 0.88127457264641329 200.2316979374807 198.02899947548883 -0.00050921672432326646 9038.9779586612276
600 1.0597716659621748 200.21895180129317 197.8056560710518 -0.00062719318403402918 9038.1868014689862
700 1.2385570152157648 200.30636449829734 198.00529806189795 -0.00069543644969487228 9043.8830288391382
800 1.4175615366626102 200.44274865000841 198.52528739290383 -0.00067323195882463931 9053.0171905436018
900 1.5967486044885797 200.43583608937661 198.87856844452759 -0.00061996751515914226 9053.205458761744
1000 1.7760899103292371 200.29518413537713 199.11111597164972 -0.00058141622408154885 9044.893472226604
1100 1.9555450727675772 200.15769883614385 199.30699676557987 -0.00053888904766224857 9036.6613618485753
1200 2.1350980911384121 200.0964333476561 199.38321673498771 -0.00050769040123185751 9033.0530494925461
1300 2.3147401756713855 200.09793697422236 199.3310426666028 -0.00052901263277795128 9033.2545239048195
1400 2.4944598651011614 200.12204637490547 199.23373665342291 -0.00061064822599949525 9034.8356393218855
1500 2.6726010702249297 200.14320952073822 199.16058543757327 -0.0007261236239402653 9036.2542018187796
1600 2.8524649907296404 200.15596397082587 199.12511672194364 -0.000857351627042615 9037.1817461812298
1700 3.03238972578785 200.16277844798623 199.11319867737916 -0.0010101081899789918 9037.7625579095602
1800 3.2123327406558073 200.16673396393534 199.11172290085878 -0.0012020310838972443 9038.1790182643763
1900 3.3922754396009012 200.16925874220971 199.12008275917813 -0.0014350516499552369 9038.5142787094901
2000 3.5722407445756601 200.1706979269529 199.13759878953849 -0.0016936555857835749 9038.786259394401
2100 3.7522564741526474 200.17100757465337 199.15963042169179 -0.0019610268848991516 9038.9895791307645
2200 3.9323293177513672 200.17014791882971 199.1818279468097 -0.0022290801825076301 9039.1197290544224
2300 4.1124479409193633 200.16782949604422 199.19997282375596 -0.0024954867222707362 9039.1553459479819
2400 4.2925995915376163 200.16285586094475 199.20804585446382 -0.0027597316939879709 9039.0165298210359
2500 4.4727781620525855 200.1540455564836 199.20292061206774 -0.0030226006295800065 9038.6267604249042
2600 4.6529820106785325 200.14243130714868 199.18983771567216 -0.0032849690363823125 9038.0542607138123
2700 4.8332101543631101 200.13114991258061 199.17646779363167 -0.0035478501218048804 9037.5004010499288
2800 5.0126182439871094 200.12300577647699 199.16523346504115 -0.0038119385838547883 9037.141184663049
2900 5.1928896294569542 200.11855000174859 199.15474336452289 -0.0040812800269999436 9037.0119948954725
3000 5.373179958952182 200.11651977747533 199.14453063955295 -0.0043538151541626553 9037.0339432741621
3100 5.5534877813777079 200.11510095307906 199.1354147469219 -0.0046262044870845238 9037.0949790465747
3200 5.7338118892543646 200.11320884635853 199.12798295096798 -0.004894180739694446 9037.12769578605
3300 5.914151282990523 200.11068453626115 199.12179374355898 -0.0051536084014665931 9037.1214392467737
3400 6.0945052167572706 200.10779474240167 199.11582476659171 -0.0054001642873277161 9037.0917665441357
3500 6.2748732707060579 200.10477408312673 199.10922010643591 -0.0056288178659856247 9037.0524569467689
3600 6.4552552183688103 200.10170150028117 199.10155314380251 -0.0058341599583243628 9037.0079364135217
3700 6.6356506106082422 200.09857307307189 199.0926627286658 -0.0060112940630184172 9036.9576733330559
3800 6.8160584607171328 200.09538325033762 199.08248744578441 -0.0061564921391884866 9036.9011009090063
3900 6.9964773935771998 200.09214843555 199.07103850439472 -0.0062673745509818773 9036.8390406091185
4000 7.1769060866155616 200.08889542812162 199.05841404044014 -0.0063429288605837408 9036.7729902796818
4100 7.3573435609463145 200.08565509340991 199.04482348424642 -0.0063835956979614722 9036.7047824749679
4200 7.5360897261401529 200.0825005565448 199.03075706305125 -0.006391387694298839 9036.6378126291656
4300 7.7165428219878036 200.07942584422472 199.01639846685788 -0.0063697568736490462 9036.5743533292225
4400 7.8970029691153751 200.07649915581021 199.00226914489033 -0.0063230177755863315 9036.5175642228587
4500 8.0774696359034444 200.07371419558908 198.9885392219031 -0.0062567382190339416 9036.4670296643508
4600 8.2579423264838034 200.0710271811183 198.97515523609275 -0.0061772509323883701 9036.4198038126287
4700 8.4384206061000118 200.06839373023499 198.96196385975017 -0.0060912441457387639 9036.372820171342
4800 8.6189041029499247 200.06579975967128 198.94883465540553 -0.0060052466971222129 9036.3249400830027
4900 8.7993925003352729 200.06326201735479 198.93570667629157 -0.0059251157031739443 9036.2770419266544
5000 8.9798855293625941 200.06080713865441 198.92257782081583 -0.0058556237770742703 9036.2307102710929
5100 9.1603829622806554 200.05845276070656 198.90948274703041 -0.0058001819302630209 9036.1870325984346
5200 9.3408846035740787 200.05620287009145 198.89647844430033 -0.005760693574761222 9036.1462874556928
5300 9.5213902797249581 200.05405320170462 198.88363416096735 -0.0057375165373508008 9036.1082660673092
5400 9.7018998321787357 200.05199752745273 198.87102177784155 -0.0057295121789419368 9036.0726528186497
5500 9.8824131163573963 200.05003033891481 198.85870780882388 -0.0057341734806894973 9036.039183380095
5600 10.061376128397747 200.04816258150578 198.84684969048072 -0.0057476829654647399 9036.0078940220028
5700 10.24189647547624 200.04635682365782 198.83528460010533 -0.0057657352417822272 9035.9780053921204
5800 10.422420205599428 200.04462441826647 198.82414735155311 -0.0057830828743544449 9035.9495435923254
5900 10.602947207018977 200.0429604376815 198.81345621863341 -0.0057942999588634081 9035.9222689798025
6000 10.783477354830225 200.04136080880727 198.80321967332904 -0.0057940251710781598 9035.8959918323671
6100 10.96401050851372 200.03982271053388 198.79343878459554 -0.0057772671610116233 9035.8705981192998
6200 11.144546514408187 200.03834477444613 198.78410957889901 -0.0057396734795162052 9035.846063304838
6300 11.32508520988258 200.03692705112036 198.77522529671435 -0.0056777533174699191 9035.8224518870884
6400 11.505626427064191 200.03557061901606 198.7667781808301 -0.0055890475301277331 9035.799894517635
6500 11.686169995822368 200.03427682514007 198.75876036738293 -0.0054722427597048429 9035.7785413567326
6600 11.866715746478775 200.03304642736452 198.75116387937271 -0.005327227433216869 9035.7585082640398
6700 12.047263512448414 200.03187904698484 198.74398012905212 -0.0051550943831173979 9035.7398416294091
6800 12.227813132654653 200.03077315075888 198.73719934772564 -0.0049580943288126123 9035.7225160499693
6900 12.408364453447414 200.02972643513397 198.73081016607088 -0.004739544947773594 9035.7064573313273
7000 12.588471093383951 200.02873867295315 198.72481383708748 -0.0045043042846489301 9035.6916065275745
7100 12.769025387042626 200.02780237253089 198.71916584680795 -0.0042562389321698091 9035.677794802803
7200 12.949580976278616 200.02691755898763 198.7138653127854 -0.0040015651304378397 9035.6649707997149
7300 13.130137745777724 200.02608185256491 198.70889508004078 -0.0037463602056520273 9035.6530512778991
7400 13.31069558969412 200.02529297258957 198.70423745130077 -0.0034969341260452924 9035.641959085191
7500 13.491254411004961 200.02454874806963 198.69987455165094 -0.0032596370342237446 9035.6316243694564
7600 13.671814120859441 200.0238471384308 198.69578865253536 -0.0030406715677011864 9035.6219864249269
7700 13.852374638038066 200.02318624298002 198.69196245443115 -0.0028459144396221769 9035.6129947940444
7800 14.032935888507987 200.02256428891587 198.68837930159603 -0.0026807507340579073 9035.604608916874
7900 14.213497805004973 200.02197959880257 198.68502330208563 -0.0025499257192730107 9035.5967963137718
8000 14.394060326583338 200.02143054504754 198.6818793570101 -0.0024574160879657636 9035.5895297323023
8100 14.574623398131971 200.02091550378935 198.67893313697255 -0.0024063231644787519 9035.5827840362726
8200 14.755186969908454 200.02043282283475 198.67617105518204 -0.0023987892494110596 9035.5765337860103
8300 14.935750997108888 200.01998081403994 198.67358027198242 -0.0024359408301834473 9035.5707522053344
8400 15.115561287942317 200.01955947890926 198.67115857742604 -0.0025174242604159014 9035.5654329886493
8500 15.296126107954107 200.01916359209255 198.66887449711808 -0.0026429579148239402 9035.5605040747068
8600 15.476691275060718 200.01879332300808 198.66672822303286 -0.0028102951272340471 9035.555962418297
8700 15.657256760604906 200.01844707483141 198.66471041423375 -0.0030164518066267687 9035.551783559742
8800 15.837822539156067 200.01812332124567 198.66281268339401 -0.0032575285031474221 9035.5479447717007
8900 16.018388588210048 200.01782061104154 198.66102756861551 -0.0035288019135230886 9035.5444247201413
9000 16.198954887900264 200.01753757104802 198.65934847445612 -0.0038248356505866943 9035.5412031364813
