y,x,rho_weno5,rho_mdcd_hybrid,difference
0.20416666666666664,0.0041666666666666675,8.000000000000169,7.999999673890699,-3.2610947009459323e-07
0.20416666666666664,0.0125,7.999999999999649,8.000000037773393,3.777374413260759e-08
0.20416666666666664,0.020833333333333332,8.000000000000567,7.999999791405011,-2.0859555593943924e-07
0.20416666666666664,0.029166666666666667,7.999999999997698,8.000000139346417,1.3934871923027004e-07
0.20416666666666664,0.037500000000000006,8.00000000000485,7.999999691936266,-3.080685830880725e-07
0.20416666666666664,0.045833333333333316,7.999999999987733,8.000000643391264,6.434035304536678e-07
0.20416666666666664,0.05416666666666666,8.000000000024471,7.999999167388386,-8.326360854127302e-07
0.20416666666666664,0.0625,7.999999999953688,8.000001600616482,1.600662794309926e-06
0.20416666666666664,0.07083333333333333,8.000000000076007,7.999998194463004,-1.8056130031141038e-06
0.20416666666666664,0.07916666666666666,7.999999999897882,8.000002482621571,2.4827236897451144e-06
0.20416666666666664,0.08749999999999997,8.000000000088447,7.99999726873063,-2.731357816365687e-06
0.20416666666666664,0.09583333333333334,8.000000000046358,8.000002969847644,2.9698012866674617e-06
0.20416666666666664,0.10416666666666666,7.999999999574667,7.999996567890084,-3.431684583610206e-06
0.20416666666666664,0.11249999999999999,8.000000001156879,8.000003886829042,3.885672162695641e-06
0.20416666666666664,0.12083333333333333,7.99999999779275,7.999995200593828,-4.797198921657753e-06
0.20416666666666664,0.12916666666666668,8.000000003319695,8.000005785736398,5.782416703681292e-06
0.20416666666666664,0.1375,7.9999999956033125,7.9999931669678865,-6.828635426003871e-06
0.20416666666666664,0.14583333333333331,8.000000006585237,8.000008074039725,8.067454487559189e-06
0.20416666666666664,0.15416666666666667,7.999999986758124,7.999990658006306,-9.328751818138414e-06
0.20416666666666664,0.16249999999999998,8.00000002846675,8.000009774455696,9.745988945653039e-06
0.20416666666666664,0.17083333333333334,7.999999946555135,7.999993483212811,-6.463342323570487e-06
0.20416666666666664,0.17916666666666667,8.000000088924672,8.00000254443679,2.455512117194303e-06
0.20416666666666664,0.1875,7.999999850329732,7.999998430599993,-1.4197297391049801e-06
0.20416666666666664,0.1958333333333333,8.00000026550444,8.000004331475694,4.065971253908174e-06
0.20416666666666664,0.20416666666666666,7.999999560125599,7.999994905396533,-4.654729066189134e-06
0.20416666666666664,0.2125,8.000000658133677,7.999995414224802,-5.243908875129932e-06
0.20416666666666664,0.22083333333333333,7.99999902457005,8.000008386927401,9.36235735160551e-06
0.20416666666666664,0.22916666666666666,8.000001346716694,7.999981954326001,-1.9392390692374306e-05
0.20416666666666664,0.2375,7.999998326615896,8.000027521289034,2.919467313855506e-05
0.20416666666666664,0.2458333333333333,8.000001697379687,7.999971528586338,-3.016879334971634e-05
0.20416666666666664,0.25416666666666665,7.999999136885179,8.00002373461519,2.4597730011954866e-05
0.20416666666666664,0.26249999999999996,7.9999984291673485,7.999971662438954,-2.6766728394633788e-05
0.20416666666666664,0.2708333333333333,8.000006072507327,8.000042315359892,3.624285256442761e-05
0.20416666666666664,0.2791666666666667,7.999988400085701,7.999964522112737,-2.38779729633265e-05
0.20416666666666664,0.2875,8.00001532073755,8.00003724823379,2.1927496240081723e-05
0.20416666666666664,0.2958333333333334,7.999989127106539,8.000033671995286,4.454488874738871e-05
0.20416666666666664,0.30416666666666653,7.9999977930964095,7.999981961078592,-1.5832017817629662e-05
0.20416666666666664,0.3125,8.000032626448977,7.9999596194268,-7.30070221770518e-05
0.20416666666666664,0.32083333333333336,7.999885776489727,7.999992406456779,0.00010662996705246286
0.20416666666666664,0.3291666666666666,8.002908670570879,8.001086421183908,-0.0018222493869703982
0.20416666666666664,0.3375,8.063836885795286,8.034598292993103,-0.02923859280218366
0.20416666666666664,0.3458333333333333,9.036956822319672,8.677416603197363,-0.3595402191223087
0.20416666666666664,0.35416666666666663,13.217927790765687,12.81510399812124,-0.40282379264444756
0.20416666666666664,0.3625,16.4185297641514,16.650039554174445,0.2315097900230434
0.20416666666666664,0.3708333333333333,17.529067292521734,17.518192087624005,-0.010875204897729418
0.20416666666666664,0.37916666666666665,17.45265833344275,17.745711684903,0.2930533514602516
0.20416666666666664,0.38749999999999996,17.72571766397314,17.872852996550836,0.1471353325776974
0.20416666666666664,0.3958333333333333,17.555256215964867,17.467553482982822,-0.087702732982045
0.20416666666666664,0.4041666666666667,17.560210237649734,17.277615282546588,-0.28259495510314636
0.20416666666666664,0.4125,17.433144815125914,17.24458409074977,-0.18856072437614557
0.20416666666666664,0.42083333333333334,17.40880708123486,17.45117100266566,0.04236392143080181
0.20416666666666664,0.4291666666666666,17.357479326423668,17.42443866593636,0.0669593395126924
0.20416666666666664,0.4375,17.365819486194425,17.276104165867356,-0.08971532032706975
0.20416666666666664,0.4458333333333333,17.35577037487474,17.30747218760629,-0.048298187268450476
0.20416666666666664,0.45416666666666655,17.376826758993158,17.46773720553581,0.0909104465426509
0.20416666666666664,0.46249999999999997,17.348139631006134,17.48247017235438,0.13433054134824474
0.20416666666666664,0.4708333333333332,17.29942517062244,17.30990218731012,0.010477016687680418
0.20416666666666664,0.4791666666666666,17.237857025977576,17.19136895486945,-0.046488071108125695
0.20416666666666664,0.4875,17.165237509329824,17.216484394320346,0.051246884990522545
0.20416666666666664,0.4958333333333333,17.13039593885913,17.334875445306004,0.20447950644687296
0.20416666666666664,0.5041666666666667,17.123710170020576,17.290396930452534,0.16668676043195774
0.20416666666666664,0.5125000000000001,17.121685887656664,17.171126399286415,0.049440511629750716
0.20416666666666664,0.5208333333333333,17.102587931332607,17.039384511681895,-0.06320341965071208
0.20416666666666664,0.5291666666666668,17.06404492808051,16.98060748070042,-0.08343744738008851
0.20416666666666664,0.5375000000000001,17.028899897119192,16.941661878305414,-0.08723801881377824
0.20416666666666664,0.5458333333333331,16.998476293566785,16.91341941471646,-0.08505687885032387
0.20416666666666664,0.5541666666666667,16.964377350780254,16.88785865407917,-0.07651869670108269
0.20416666666666664,0.5625,16.924848988785588,16.932762474833794,0.007913486048206408
0.20416666666666664,0.5708333333333333,16.892411297185237,16.989124811940222,0.09671351475498469
0.20416666666666664,0.5791666666666667,16.877068517874022,16.972712618333848,0.09564410045982541
0.20416666666666664,0.5874999999999999,16.861136262866236,16.89847096557043,0.037334702704193035
0.20416666666666664,0.5958333333333332,16.83344853692989,16.81381905018959,-0.01962948674029974
