# step time total_mass total_momentum_x total_momentum_y total_energy
0 0 200.23427575617237 200.23427575617237 2.0023427575617241 9039.1573267161475
100 0.19614848889449352 200.2341937258056 199.15841923318479 1.8461090784681375 9039.1513963201814
200 0.39275410767081859 200.23399094212954 198.80475058375842 1.6951594241446755 9039.1377448888943
300 0.5896845961513475 200.23344228157976 198.66477471739137 1.5452859130974905 9039.1032432234642
400 0.7882834807077278 200.23563043322571 198.55045445468181 1.3945342801201495 9039.2394591972079
500 0.98860127470914017 200.2192728441417 198.3403365498892 1.2420555259378991 9038.1837598715902
600 1.1887837906620762 200.26655939234752 198.39890013235328 1.0927801773287404 9041.298583545693
700 1.3889049468588635 200.41634392909353 198.9423913643046 0.95486991063480031 9051.2463407768555
800 1.5889822921353904 200.42063341292811 199.31655966591256 0.8248202472894095 9052.0720584952942
900 1.7890575762658785 200.2671307669132 199.53943748323323 0.69533523233233918 9042.9163224430049
1000 1.9891480076917318 200.13521488240849 199.71298983389457 0.56432582152264288 9035.0168816811074
1100 2.1892346936861511 200.09929974437247 199.73166914226724 0.43602707423772064 9032.9390541379416
1200 2.3893038707555774 200.12078312701286 199.63309899658321 0.31813035326118316 9034.3247164761942
1300 2.5893625146248267 200.14930458515039 199.53483579578599 0.21870203879616151 9036.1501394051629
1400 2.7894149604385943 200.16632261912514 199.48647645107457 0.14406562651276697 9037.307181067652
1500 2.9894529565931469 200.17396026193629 199.47490007151879 0.095422532330303705 9037.9176484172476
1600 3.1894566876597175 200.1773149248092 199.47861599065126 0.068755836919960761 9038.2803299679599
1700 3.3894689459373284 200.17883419933088 199.49359497973359 0.057643552699660205 9038.5375035635934
1800 3.5895064086858812 200.17917526210636 199.51779440914567 0.054427239887824268 9038.725293169864
1900 3.7895542182031638 200.17845120011054 199.54548828128475 0.051834950705494223 9038.8476922999416
2000 3.9895954438277181 200.1765716763382 199.57123587461132 0.045779051500117858 9038.8960139763531
2100 4.1896248119643733 200.17272476249101 199.58873405789373 0.036159374404216099 9038.8142703650792
2200 4.3896480814542658 200.16520002849776 199.59196894221876 0.024962653299955877 9038.4901634612288
2300 4.5896699928656473 200.154010984308 199.58385616065596 0.013937732747323663 9037.9267395353381
2400 4.7896910946209372 200.14248408001134 199.57395357220975 0.0038790370551043118 9037.3392452935022
2500 4.9897104897796956 200.13429994286105 199.56615232371297 -0.0048353589943010769 9036.9599649884713
2600 5.1897277586802613 200.13041507608582 199.55928856241789 -0.011812843436536543 9036.847663662862
2700 5.3897432070412785 200.12906397106542 199.55325752290923 -0.016795531447571784 9036.8930856727929
2800 5.5897574084006312 200.12793720001829 199.54912269477168 -0.019893508801689008 9036.9538573496302
2900 5.7897707866120482 200.1259614081429 199.54704986026169 -0.021448841942623122 9036.9632634556638
3000 5.9897836299172154 200.12326215883058 199.54595417777196 -0.021785062420408945 9036.9279556530346
3100 6.1897962918498752 200.1202629162855 199.54451689804182 -0.021266062653433462 9036.8729740809831
3200 6.3938913680673792 200.11711502967327 199.54192327985453 -0.020490464306324351 9036.8096401248476
3300 6.5979873477395179 200.11390696458542 199.53794841127058 -0.020216399512462652 9036.7405344556792
3400 6.8020417318824382 200.11063124168797 199.53254913280367 -0.0207964606741535 9036.6651189572749
3500 7.006125894632631 200.10730451922603 199.52575526088106 -0.021971138278234929 9036.5844217139511
3600 7.2102108793950261 200.1039586019275 199.51770193312819 -0.023213158396138731 9036.5003635206322
3700 7.4142965986228671 200.10063573820975 199.50869398031421 -0.024165875477180049 9036.4156651669782
3800 7.6183829798186098 200.0973988740954 199.49922157458838 -0.024757308328047158 9036.334527553634
3900 7.8224699432923117 200.09430458306238 199.48978133757413 -0.025070344120362922 9036.2607864893198
4000 8.0265574160186386 200.09135277967329 199.48060835886326 -0.025222964381855506 9036.1945189122853
4100 8.2306453504079045 200.08848424278051 199.47160506139321 -0.025339199499640835 9036.13181016614
4200 8.4347337285136916 200.08563825386244 199.46251165883936 -0.025550746302888921 9036.0684993655505
4300 8.6388225555495826 200.08280283453814 199.45310466014197 -0.025981185860136875 9036.0035016136098
4400 8.8429118499019861 200.08000885566398 199.44327273799905 -0.02671632839992294 9035.938524223955
4500 9.0470016340855501 200.07729200883156 199.43299869679967 -0.027781504498190862 9035.8756868161217
4600 9.2510919270153558 200.07466882515149 199.42232463243388 -0.029138297347556033 9035.8159917244375
4700 9.4551827369150061 200.07213873024747 199.41132722586227 -0.030699435945848674 9035.7594221866602
4800 9.6592740562732953 200.06969536118555 199.40009862525764 -0.032350872341981321 9035.7056237693923
4900 9.8633658596343015 200.06733284058427 199.38873101559204 -0.033970116232536388 9035.6542774573154
5000 10.067458101201401 200.06504612970201 199.37730674908244 -0.035437565558963283 9035.6051113389894
5100 10.271550710755628 200.06283001069798 199.36589377901629 -0.036643286680173262 9035.5578332906716
5200 10.475643591031458 200.06067912499302 199.3545450338452 -0.037491583898760478 9035.5121331572027
5300 10.679736622007203 200.0585888063622 199.34330046621875 -0.037904087524694485 9035.46773607043
5400 10.883829671588751 200.05655593759676 199.33219041169238 -0.037822358995542454 9035.424457907
5500 11.087922608130992 200.05457955305243 199.32123920813964 -0.037211044003284718 9035.3822454873061
5600 11.292015310200469 200.05266102000351 199.31046854767553 -0.036061113447120832 9035.3411909182396
5700 11.496107673457674 200.05080347181976 199.29989978935063 -0.034392091690556348 9035.3014988781451
5800 11.700000000000001 200.04901218738286 199.28956473999929 -0.032254534661188994 9035.2634406870056
5900 11.904089859577141 200.04728617522909 199.27946484232612 -0.029719199122968804 9035.2271147132196
6000 12.108179793798575 200.04562791143221 199.26963037916624 -0.026885944056824151 9035.1926215752392
6100 12.31226974312195 200.04403657549949 199.2600787017704 -0.023871076469799218 9035.1599292388491
6200 12.516359662885153 200.0425105986871 199.25082338453555 -0.020803814093264539 9035.1289581357851
6300 12.720449525101595 200.04104829822296 199.24187389078543 -0.017820325759060618 9035.0996202028982
6400 12.924539319006051 200.03964812056773 199.23323585006639 -0.015057711386285283 9035.0718344324632
6500 13.128629050453362 200.03830863439819 199.22491164060543 -0.012648171616456622 9035.0455273856987
6600 13.332718740305674 200.0370284806794 199.21690098267712 -0.010713429424529797 9035.0206313252365
6700 13.536808422167445 200.0358063656823 199.20920148192832 -0.0093596009557933568 9034.9970852358947
6800 13.740898140048108 200.03464107257793 199.2018091246689 -0.008672751128068229 9034.9748371755468
6900 13.944987945075146 200.03353144712449 199.19471871488267 -0.0087149340005870379 9034.9538450635973
7000 14.149077892300353 200.03247634042873 199.18792427661805 -0.0095211027287102901 9034.9340745975151
7100 14.353168038302165 200.03147452161483 199.18141924186543 -0.011096614278635786 9034.9154948245377
7200 14.557258436993806 200.03052459619684 199.17519658159779 -0.013415089540716962 9034.8980734892939
7300 14.761349136870045 200.02962494925043 199.16924885307839 -0.016417363493118481 9034.8817732260613
7400 14.96544017863426 200.0287737536795 199.16356839278609 -0.020011249625674604 9034.8665512482439
7500 15.16953159219501 200.02796902673975 199.15814756556276 -0.024072173334442393 9034.8523614999249
7600 15.373623394524937 200.02720870529774 199.1529790164625 -0.028445239011934381 9034.8391575369405
7700 15.577715587990181 200.02649071301596 199.148055880931 -0.032948717689429807 9034.826894631211
7800 15.781808159468635 200.02581300593863 199.14337186637562 -0.037378880992980229 9034.8155304223837
7900 15.985901078820774 200.02517360176557 199.1389212778239 -0.04151639241927646 9034.8050246938874
8000 16.189994299575773 200.02457059759328 199.13469896758539 -0.045133860329208131 9034.7953387557118
