# step time dt cfl wall_time total_l2 rho_l2 rhou_l2 rhov_l2 rhow_l2 rhoE_l2 rho_reference_l2 rhou_reference_l2 rhov_reference_l2 rhow_reference_l2 rhoE_reference_l2 rho_normalized_l2 rhou_normalized_l2 rhov_normalized_l2 rhow_normalized_l2 rhoE_normalized_l2 rho_linf rhou_linf rhov_linf rhow_linf rhoE_linf rho_reference_linf rhou_reference_linf rhov_reference_linf rhow_reference_linf rhoE_reference_linf rho_normalized_linf rhou_normalized_linf rhov_normalized_linf rhow_normalized_linf rhoE_normalized_linf consecutive reconstruction_fallbacks riemann_fallbacks residual_checked stop_reason
0 0 0 0.25 0 9.1396536522747684 0.3230365569500615 0.55369597144844351 0.17220340748462631 0 20.426104830785135 nan nan nan nan nan nan nan nan nan nan 10.957929881828246 25.331712851771822 5.3906604139943042 0 696.47317159551289 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
20 0.041015646902195134 0.0020560087285339109 0.25 2.022672 6.0931640885457146 0.21441323096501047 0.86698886186650792 0.60334519941249531 0 13.582031324505481 nan nan nan nan nan nan nan nan nan nan 6.5677722874339608 23.840002793920625 16.803512719650104 0 423.91409613835373 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
40 0.081999440008983043 0.0020494836419583649 0.25 4.101591 5.6230444571712779 0.19804003832734557 0.82482959145649704 0.54079967087218994 0 12.533200582488284 nan nan nan nan nan nan nan nan nan nan 4.259945939329512 15.948907388070925 11.316262780531199 0 281.37483164660955 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
60 0.12239226072261661 0.0020268814670002158 0.25 6.5058179999999997 4.9462035549633363 0.17488528774957829 0.75391878654705802 0.48888637072856794 0 11.022098699957088 nan nan nan nan nan nan nan nan nan nan 2.7121125743687511 12.704095633621357 8.4975897987184901 0 168.18284018637198 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
80 0.1628968955070994 0.0020304168937191175 0.25 8.6964249999999996 4.2312540894499913 0.14982135150515416 0.66991876383040372 0.42496903955542265 0 9.4268615973375169 nan nan nan nan nan nan nan nan nan nan 1.8839206431217292 8.7780230326009043 5.5266982433259395 0 117.38143618233411 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
100 0.2020241066703129 0.0020241066703128863 0.25 10.83146 3.7324781557109232 0.13236791054961075 0.59543642028142452 0.36408497494851705 0 8.315788732944819 nan nan nan nan nan nan nan nan nan nan 1.4161565227865949 6.6108803767488586 4.2278215168345774 0 86.387229237599641 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
120 0.24243804673589475 0.0020248623199899665 0.25 12.913173 3.3949900811205831 0.12041969527946299 0.52969536438460596 0.32873701567297153 0 7.5648292873666625 nan nan nan nan nan nan nan nan nan nan 1.1642532245991024 5.3772498157067101 3.5457732664000305 0 70.209422076418221 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
140 0.28304700680071954 0.0020299818814327572 0.25 15.052635 3.2040794488226818 0.11357440697967244 0.49486168702770589 0.29381923095403495 0 7.1404837788592577 nan nan nan nan nan nan nan nan nan nan 1.0121224874179211 4.9781600283302039 2.9740981276726473 0 65.459891500724552 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
160 0.32228326077614494 0.0020267890112511669 0.25 17.191751 3.0353999851028193 0.107539713966721 0.46765919374928139 0.28066870882223643 0 6.7645561947640553 nan nan nan nan nan nan nan nan nan nan 0.89626851010840136 4.5271969466564252 2.6674126231746986 0 58.22744870573603 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
180 0.36292412450248057 0.0020355667894621085 0.25 19.312204999999999 2.8678866225072555 0.10159318487204205 0.44140066786702109 0.2625490140795631 0 6.3913833156978095 nan nan nan nan nan nan nan nan nan nan 0.71220361194423631 3.5963528539832095 1.8486088909835865 0 46.347439952907777 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
200 0.40203691839671363 0.0020369183967136068 0.25 21.573264999999999 2.7075136285443064 0.095905799565070809 0.41722560462038777 0.24996740041625395 0 6.0338537780554367 nan nan nan nan nan nan nan nan nan nan 0.65363463567994584 3.4938286210191896 1.9126800311125582 0 43.279573101348234 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
220 0.44285687416875891 0.0020449184925337995 0.25 23.756592000000001 2.5590035463074114 0.090633796853395648 0.39433492578060192 0.2367630409234735 0 5.7028698471646493 nan nan nan nan nan nan nan nan nan nan 0.64052223486209592 3.4360416736925523 1.4132799464817485 0 42.347046795187019 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
240 0.48380054528953309 0.0020484909941226085 0.25 25.884672999999999 2.4252255482166247 0.085911756730153568 0.37424483173398154 0.22557246851317309 0 5.4046527951421597 nan nan nan nan nan nan nan nan nan nan 0.49476909336219754 2.5833241220687508 1.4255368074826369 0 32.357880365928601 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
260 0.52461801842488076 0.0020529649087640289 0.25 27.929611999999999 2.3103308601282708 0.081836193892514605 0.35567461756121371 0.21559905031386467 0 5.1486366029853778 nan nan nan nan nan nan nan nan nan nan 0.48767830664055239 2.7007890364871554 1.3645186850246016 0 32.563985829824709 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
280 0.56572493604800123 0.002057124386175592 0.25 30.055340999999999 2.1980933897396713 0.077897556796959089 0.33893110740592924 0.20634707477674433 0 4.8984233493946734 nan nan nan nan nan nan nan nan nan nan 0.42654046994674055 2.314098124466839 1.2923341032897275 0 28.31783527096167 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
