# step time total_mass total_momentum_x total_momentum_y total_momentum_z total_energy
0 0 19.678773469844437 13.113564570837951 0 0 886.45905934179586
20 0.0058522297835267639 19.678773469843307 13.113543621465354 -6.4501717752092581e-17 -2.6644231219098336e-17 886.45901857203671
40 0.011704459567008458 19.678773469843005 13.113530600529089 -1.2333460794768165e-16 -5.885260410803915e-17 886.45899784980668
60 0.017556689349724978 19.678773469843765 13.113522696794195 -1.1386146425748346e-16 -9.8595754861351153e-17 886.45898366353731
80 0.023408919128772472 19.678773469843236 13.113517245346044 -3.9718928672816763e-16 -1.3666796825818251e-16 886.45897252963164
100 0.029261148899381119 19.678773469843399 13.113513184421691 -7.628662479009559e-16 -1.7232612567457876e-16 886.45896324096998
120 0.035113378657310103 19.678773469843101 13.113510003027073 -1.0973024369872986e-15 -2.0626708719362595e-16 886.45895521195462
140 0.040965608398548362 19.678773469843257 13.113507420774187 -1.418816609067685e-15 -2.4582405478675574e-16 886.45894810520485
160 0.046817838115227411 19.678773469843616 13.113505268961863 -1.597721614230818e-15 -2.8571757588439026e-16 886.45894170303745
180 0.052670067792135157 19.678773469843048 13.11350343900304 -1.7125225306710351e-15 -3.1919992256234851e-16 886.45893585630142
200 0.058522297407587652 19.678773469843378 13.113501857308687 -1.9694401173092364e-15 -3.6044510987750752e-16 886.45893046124002
220 0.064374526938443852 19.678773469843037 13.113500471934689 -2.3228681085620006e-15 -3.994221908761945e-16 886.45892544488288
240 0.070226756366407739 19.678773469843335 13.11349924496519 -2.5716310972587479e-15 -4.2397312037539913e-16 886.45892075375264
260 0.076078985682713651 19.678773469843335 13.113498147938934 -2.7705112569005055e-15 -4.5302932106279149e-16 886.45891634522195
280 0.081931214889765541 19.678773469843513 13.113497158954026 -2.9690324333913048e-15 -4.9162586747780364e-16 886.45891218297868
300 0.087783443999896349 19.678773469843783 13.113496260790782 -3.1374446591016475e-15 -5.3991026373756251e-16 886.45890823579839
320 0.093635673032345032 19.678773469843946 13.11349543964479 -3.1543079204111781e-15 -5.889616307898678e-16 886.45890447766612
340 0.099487902009716314 19.678773469842938 13.113494684260234 -3.1128037559819706e-15 -6.2551713778854232e-16 886.45890088867191
360 0.10534013095486858 19.678773469843154 13.113493985324848 -3.0493853536647469e-15 -6.7645258036780315e-16 886.45889745593627
380 0.1111923598886999 19.678773469843652 13.113493335038129 -2.8497136152640006e-15 -7.1847146579235344e-16 886.45889417365277
400 0.11704458882890674 19.678773469843428 13.113492726795496 -2.7355443868790882e-15 -7.4488683627118559e-16 886.45889104220339
420 0.12289681778954688 19.678773469843705 13.11349215496621 -2.5877617544782424e-15 -7.7317744838628231e-16 886.45888806733876
440 0.12874904678115184 19.67877346984271 13.113491614706374 -2.2988714004684903e-15 -7.9741639959439169e-16 886.45888525723467
460 0.1346012758111437 19.678773469843087 13.113491101826227 -1.9005670742746012e-15 -8.3547635840769194e-16 886.45888262024425
480 0.140453504884369 19.678773469842472 13.113490612675101 -1.6659895051641992e-15 -8.6879553609884148e-16 886.45888016169624
500 0.1463057340036317 19.678773469843009 13.11349014405363 -1.7091225404207563e-15 -9.0185689791482033e-16 886.45887788204232
520 0.15215796317016245 19.678773469843147 13.113489693126093 -1.7695200129664874e-15 -9.2773881314214301e-16 886.4588757748827
540 0.1580101923840021 19.678773469842543 13.113489257364163 -1.8150584100350099e-15 -9.5423085230979338e-16 886.45887382653882
560 0.16386242164429918 19.678773469843527 13.113488834493667 -1.6814719968905869e-15 -1.0048217117391367e-15 886.45887201665346
580 0.16971465094953067 19.678773469842771 13.113488422453337 -1.5077809030342778e-15 -1.0247612682108701e-15 886.45887031933137
600 0.1755668802976591 19.678773469842596 13.113488019368106 -1.0518805598885828e-15 -1.0585627779430167e-15 886.45886870503386
620 0.18141910968623576 19.678773469842938 13.113487623523014 -8.1082297697344864e-16 -1.1042910967979357e-15 886.45886714291566
640 0.18727133911246149 19.678773469843922 13.11348723335912 -5.0796195269925968e-16 -1.1368632187563544e-15 886.45886560272675
660 0.19312356857321367 19.678773469843399 13.113486847453084 -2.2084997083204752e-16 -1.1528849223222511e-15 886.45886405659576
680 0.19897579806505086 19.678773469842795 13.113486464523355 -2.8947615670211731e-17 -1.1904256878386271e-15 886.45886248040051
