# step time dt cfl wall_time total_l2 rho_l2 rhou_l2 rhov_l2 rhow_l2 rhoE_l2 rho_reference_l2 rhou_reference_l2 rhov_reference_l2 rhow_reference_l2 rhoE_reference_l2 rho_normalized_l2 rhou_normalized_l2 rhov_normalized_l2 rhow_normalized_l2 rhoE_normalized_l2 rho_linf rhou_linf rhov_linf rhow_linf rhoE_linf rho_reference_linf rhou_reference_linf rhov_reference_linf rhow_reference_linf rhoE_reference_linf rho_normalized_linf rhou_normalized_linf rhov_normalized_linf rhow_normalized_linf rhoE_normalized_linf consecutive reconstruction_fallbacks riemann_fallbacks residual_checked stop_reason
0 0 0 0.5 0 0.24371229672277506 0.12040271843918557 0.21717181897292548 0.2171719811265769 0 0.43376760473720555 nan nan nan nan nan nan nan nan nan nan 0.76278212366914233 1.398617736311865 1.3930236718213362 0 2.7623917710697747 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
100 0.70794824860547489 0.0066513305533235107 0.5 9.6575070000000007 0.24370403886586758 0.1203975977904833 0.21716390430290838 0.21716939365041238 0 0.43375108573165783 nan nan nan nan nan nan nan nan nan nan 0.76314476163540457 1.3942413657125361 1.3958125848561667 0 2.7615138826088215 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
200 1.3414188885048808 0.0061387484929043236 0.5 18.814858000000001 0.24370496915196116 0.1204008675345061 0.21716528102994778 0.21716353692114893 0 0.43375503454232162 nan nan nan nan nan nan nan nan nan nan 0.76133554028717443 1.3971712705109982 1.3957469123252104 0 2.7594176732704416 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
300 1.9603113380671191 0.006362886131016242 0.5 27.662351999999998 0.24369752229987054 0.12039857575267013 0.21716048273482536 0.21716188368517175 0 0.43373798063449975 nan nan nan nan nan nan nan nan nan nan 0.76287528317284758 1.3945521489593786 1.3932978498732054 0 2.7656586625193782 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
400 2.6385061368941347 0.0072759715232474653 0.5 36.467649000000002 0.24369411908410393 0.12039834760705997 0.21716085674299249 0.21715429248036339 0 0.4337320968413324 nan nan nan nan nan nan nan nan nan nan 0.76261944229961354 1.3960904452415515 1.3939229710438736 0 2.7611475226255657 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
500 3.3993034668213258 0.0077453310941056706 0.5 45.217587999999999 0.24369311560436976 0.12039885762544764 0.21715645513019563 0.2171524304987997 0 0.43373227222684518 nan nan nan nan nan nan nan nan nan nan 0.76315351749223725 1.3918153127174429 1.3942757157443939 0 2.759826943111181 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
600 4.1753969236505162 0.0077662915090723995 0.5 53.979579999999999 0.24369345446842516 0.12039874083021254 0.21715248005035126 0.21715137222014722 0 0.43373577660963153 nan nan nan nan nan nan nan nan nan nan 0.76267411184952838 1.3952316109175749 1.3943472622960176 0 2.7570486339404843 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
700 4.9520615016300695 0.007766738435134651 0.5 62.693992999999999 0.24369129092706543 0.12039680910560438 0.21714926935692197 0.2171510412975271 0 0.43373200804971895 nan nan nan nan nan nan nan nan nan nan 0.76257182627872022 1.3920662538076072 1.3984423403229536 0 2.7621923845837677 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
800 5.7287357639792695 0.0077667501637727603 0.5 71.376688000000001 0.24369240244660234 0.12039834611969812 0.21714865235183817 0.21714957258009321 0 0.43373574813783644 nan nan nan nan nan nan nan nan nan nan 0.76297885343370164 1.3961674952139296 1.3964886461877748 0 2.7635885488640941 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
900 6.5054115862716904 0.0077667639048321262 0.5 80.182790999999995 0.24369024474664427 0.12039891487975958 0.21714879936559697 0.21714692618872103 0 0.43373078009295496 nan nan nan nan nan nan nan nan nan nan 0.76244339431949459 1.3962104838588472 1.39951149729671 0 2.764712846940407 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
