theta,x,y,cp_first_cell
-0.09817477042468103,0.540639433071525,-0.053248126149810254,-0.6049059541502046
-0.2945243112740431,0.5198637048574309,-0.15769896780428191,-0.6342085500708095
-0.4908738521234052,0.4791088267126576,-0.2560890032102336,-0.6728758688347654
-0.6872233929727672,0.4199423988499629,-0.34463782010587446,-0.7302389815381076
-0.8835729338221293,0.34463782010587457,-0.41994239884996293,-0.8001291682453555
-1.0799224746714913,0.25608900321023376,-0.47910882671265775,-0.8901297979759448
-1.2762720155208536,0.15769896780428194,-0.5198637048574307,-0.9884874498246177
-1.4726215563702154,0.053248126149810324,-0.5406394330715248,-1.056786375898902
-1.6689710972195777,-0.053248126149810185,-0.5406394330715252,-1.0458338500490925
-1.8653206380689396,-0.15769896780428186,-0.5198637048574308,-0.8961329766005548
-2.061670178918302,-0.2560890032102335,-0.4791088267126576,-0.6113528596777158
-2.2580197197676637,-0.34463782010587446,-0.4199423988499631,-0.21065249676011177
-2.454369260617026,-0.4199423988499631,-0.34463782010587446,0.2404020039174526
-2.650718801466388,-0.4791088267126578,-0.25608900321023365,0.6720013432797174
-2.84706834231575,-0.5198637048574307,-0.15769896780428197,1.0019624015446666
-3.043417883165112,-0.5406394330715251,-0.05324812614981051,1.181295931892599
-3.2397674240144743,-0.5406394330715251,0.05324812614981028,1.1638133832005408
-3.436116964863836,-0.5198637048574308,0.1576989678042819,0.9812127429213859
-3.6324665057131984,-0.4791088267126578,0.2560890032102335,0.6452757860901741
-3.8288160465625602,-0.4199423988499633,0.34463782010587446,0.22147067497244421
-4.025165587411922,-0.34463782010587457,0.41994239884996293,-0.22434541968524258
-4.221515128261284,-0.2560890032102338,0.47910882671265737,-0.6139487991688313
-4.417864669110647,-0.15769896780428228,0.5198637048574306,-0.8969473679793794
-4.614214209960009,-0.05324812614981032,0.540639433071525,-1.036618255089266
-4.81056375080937,0.053248126149810074,0.540639433071525,-1.0556648174792969
-5.006913291658733,0.15769896780428203,0.5198637048574308,-0.9856535733417715
-5.203262832508095,0.2560890032102336,0.4791088267126576,-0.8893378019990976
-5.399612373357457,0.3446378201058743,0.4199423988499633,-0.8004344670152292
-5.595961914206819,0.41994239884996304,0.3446378201058746,-0.7297429212304891
-5.792311455056181,0.47910882671265737,0.25608900321023376,-0.676356876303629
-5.988660995905543,0.5198637048574306,0.1576989678042823,-0.6329745130355349
-6.1850105367549055,0.540639433071525,0.053248126149810254,-0.6143841031309947
