time,cd_pressure,cd_viscous_estimate,cd_estimate,cl_estimate,wake_probe_v
0.0,6.927637630131607e-24,0.7262830657482278,0.7262830657482278,0.007262830657482251,0.01
0.1,9.237421281452502,0.8690495259825647,10.106470807435066,0.10136965571945691,0.009947007768817483
0.2,5.139599117961595,0.8459862586598994,5.985585376621495,0.06032395688225273,0.013995281126741648
0.3,2.3931592416924983,0.7458946828630263,3.1390539245555247,0.031909723004944664,-0.09495097382925394
0.4,1.1382598859475253,0.637189859869203,1.7754497458167284,0.01825893091765407,-0.08367948793755164
0.5,0.7276383365244695,0.5456468596681251,1.2732851961925946,0.013156414631415307,-0.0486153251827943
0.6,0.7008326999928891,0.4789109698126541,1.179743669805543,0.012271152561282195,-0.04856856078738394
0.7,0.8303729813015531,0.43360347471664396,1.263976456018197,0.012997352938367367,-0.048251714256708586
0.8,0.9619543421252095,0.4045114458574496,1.366465787982659,0.012962094004392924,-0.056937925134205127
0.9,1.0631499355726017,0.38550463400190693,1.4486545695745088,0.014754935538273894,-0.06075008487296847
1.0,1.143101405127473,0.3729961317829228,1.5160975369103955,0.020074821329208833,-0.06815317115585864
1.1,1.1889084681625661,0.36405733907460636,1.5529658072371726,0.019894113648480802,-0.07624782994657066
1.2,1.2142535552786975,0.3572623919968334,1.571515947275531,0.00261504157369874,-0.08396051658774419
1.3,1.2354978158660284,0.3517867167842569,1.5872845326502851,-0.030524806404307422,-0.09444061050176254
1.4,1.2405381076747868,0.34710980641993294,1.58764791409472,-0.06413087673614208,-0.10797465266125113
1.5,1.2459884471958014,0.342893572702553,1.5888820198983544,-0.08081452839085068,-0.12366133487815238
1.6,1.2428709638000366,0.3390638624519261,1.5819348262519626,-0.07372256422261299,-0.14078009038626602
1.7,1.240821739844487,0.3354519369884552,1.5762736768329422,-0.04818059896688448,-0.15862343760296416
1.8,1.2367349186064471,0.3321640702896941,1.5688989888961413,-0.01576599971912758,-0.17633757080539833
1.9,1.2282699860376223,0.32898214115643704,1.5572521271940594,0.012818380347476704,-0.19351813345396954
2.0,1.2236472037061197,0.32602119578911626,1.549668399495236,0.03190254556721303,-0.21029307704499978
2.1,1.2148698512686475,0.323256872909332,1.5381267241779797,0.04064984235030658,-0.22696572318840505
2.2,1.2070133792246898,0.32059448602309204,1.5276078652477818,0.041530904411561514,-0.24350247881461928
2.3,1.2027136971618713,0.3181890914409813,1.5209027886028528,0.03802907445918578,-0.2595434402534721
2.4,1.1928393457184314,0.3159215294472714,1.5087608751657027,0.03295464811995988,-0.27459790535906886
2.5,1.180652619368514,0.31359953142961716,1.4942521507981312,0.028111234467903617,-0.28823023710628126
2.6,1.1733207614226324,0.3113602122672635,1.4846809736898958,0.024353719717074007,-0.3002273535786337
2.7,1.1693402472587437,0.30936090740492056,1.4787011546636644,0.02178590052789524,-0.3105021039263673
