time,cd_pressure,cd_viscous_estimate,cd_estimate,cl_estimate,wake_probe_v
0.0,5.2506581851510546e-27,0.0,5.2506581851510546e-27,-7.573064690121713e-28,0.0
0.5,1.07020088149629,0.0,1.07020088149629,1.0683381055167935e-06,-1.0377208067549832e-06
1.0,1.1609221850440634,0.0,1.1609221850440634,2.733132276475786e-06,-0.0014597761344327083
1.5,1.1848499905476597,0.0,1.1848499905476597,4.567257032947469e-06,-0.014700039524164186
2.0,1.197070709776804,0.0,1.197070709776804,6.313011110994915e-06,-0.03070455456803698
2.5,1.2043102476506768,0.0,1.2043102476506768,7.831851520823281e-06,-0.03181242083491089
3.0,1.2088045351154348,0.0,1.2088045351154348,9.113440967119853e-06,-0.030625615029146947
3.5,1.211687874714504,0.0,1.211687874714504,1.0184646094267384e-05,-0.03226991832832287
4.0,1.213581585954035,0.0,1.213581585954035,1.1078532273250952e-05,-0.03442934967639451
4.5,1.2148498106821841,0.0,1.2148498106821841,1.182265638851026e-05,-0.03578519075430376
5.0,1.2157046327251089,0.0,1.2157046327251089,1.2434582470595597e-05,-0.036290875176787224
5.5,1.2162786875163873,0.0,1.2162786875163873,1.2924898263514013e-05,-0.03620685064209899
6.0,1.2166571137826936,0.0,1.2166571137826936,1.3303994702774241e-05,-0.035770139794319075
6.5,1.216899947526382,0.0,1.216899947526382,1.3583360609949191e-05,-0.03514008738383851
7.0,1.2170484658255822,0.0,1.2170484658255822,1.3780527923145866e-05,-0.034416718923511246
7.5,1.217130659412111,0.0,1.217130659412111,1.3914825810616357e-05,-0.03365992469094353
8.0,1.2171649180756234,0.0,1.2171649180756234,1.400551443958781e-05,-0.03290531596450065
