theta,x,y,cp_first_cell
-0.06544984694978735,0.5255895086649168,-0.03444894433880861,-0.01607234258981747
-0.19634954084936207,0.5165965946806476,-0.10275745369003549,-0.02459736451265327
-0.3272492347489368,0.49876447148121666,-0.16930772401403965,-0.03130705725476844
-0.4581489286485115,0.4723983797568805,-0.2329611002417045,-0.031995761048866034
-0.5890486225480862,0.4379494207813295,-0.2926284474552146,-0.026390026656165702
-0.7199483164476609,0.3960070257936912,-0.34728884080083267,-0.015406195245941376
-0.8508480103472357,0.3472888408008328,-0.3960070257936912,0.000905568515287801
-0.9817477042468102,0.29262844745521455,-0.4379494207813295,0.023531551277092437
-1.1126473981463851,0.2329611002417045,-0.47239837975688037,0.05400620610225399
-1.2435470920459597,0.16930772401403962,-0.49876447148121655,0.09423870357092956
-1.3744467859455345,0.10275745369003556,-0.5165965946806476,0.14636605716054077
-1.505346479845109,0.03444894433880872,-0.5255895086649167,0.21257653961886816
-1.636246173744684,-0.034448944338808574,-0.5255895086649168,0.29485029788650224
-1.7671458676442586,-0.10275745369003547,-0.5165965946806476,0.39463290919172267
-1.8980455615438334,-0.1693077240140395,-0.49876447148121655,0.5123797941263483
-2.028945255443408,-0.23296110024170452,-0.47239837975688026,0.6470890371879037
-2.159844949342983,-0.2926284474552146,-0.4379494207813297,0.7958906150627727
-2.2907446432425576,-0.34728884080083267,-0.3960070257936912,0.953593930158666
-2.421644337142132,-0.39600702579369107,-0.34728884080083283,1.112513504359059
-2.5525440310417067,-0.4379494207813296,-0.29262844745521455,1.2619948677046227
-2.6834437249412812,-0.47239837975688037,-0.23296110024170458,1.3919425274355741
-2.8143434188408563,-0.4987644714812162,-0.1693077240140398,1.493492876896332
-2.9452431127404313,-0.5165965946806476,-0.10275745369003575,1.5593742582433252
-3.076142806640006,-0.5255895086649169,-0.03444894433880878,1.5843814269137249
-3.2070425005395804,-0.5255895086649168,0.03444894433880868,1.584356510120214
-3.337942194439155,-0.5165965946806476,0.1027574536900356,1.559334290967273
-3.46884188833873,-0.49876447148121655,0.16930772401403962,1.493445951233703
-3.599741582238305,-0.47239837975688026,0.23296110024170444,1.3918948078261404
-3.730641276137879,-0.4379494207813295,0.29262844745521455,1.2619502829704472
-3.861540970037454,-0.3960070257936913,0.34728884080083255,1.1124742575536637
-3.9924406639370287,-0.3472888408008329,0.3960070257936909,0.9535609826671954
-4.123340357836604,-0.2926284474552148,0.43794942078132926,0.7958639754420428
-4.254240051736178,-0.2329611002417045,0.4723983797568803,0.6470681564672965
-4.385139745635753,-0.16930772401403946,0.49876447148121644,0.5123639023117186
-4.516039439535327,-0.10275745369003558,0.5165965946806477,0.3946212491756084
-4.646939133434903,-0.034448944338808574,0.5255895086649167,0.2948418549652273
-4.7778388273344765,0.03444894433880836,0.5255895086649169,0.2125707766538731
-4.908738521234052,0.10275745369003536,0.5165965946806476,0.1463618227681087
-5.0396382151336265,0.1693077240140393,0.49876447148121666,0.09423566964507124
-5.170537909033201,0.23296110024170452,0.47239837975688026,0.05400407668103945
-5.301437602932776,0.29262844745521444,0.43794942078132965,0.02353008475909559
-5.432337296832351,0.34728884080083233,0.3960070257936914,0.0009045811895898731
-5.563236990731926,0.39600702579369107,0.34728884080083283,-0.015406831575122806
-5.694136684631499,0.43794942078132926,0.2926284474552148,-0.02639038505989439
-5.825036378531075,0.4723983797568803,0.23296110024170455,-0.031995850051664554
-5.955936072430649,0.4987644714812162,0.16930772401403973,-0.03130687695889728
-6.086835766330224,0.5165965946806477,0.10275745369003603,-0.02459702795607853
-6.217735460229799,0.5255895086649167,0.034448944338808234,-0.01607210541967482
