# step time total_mass total_momentum_x total_momentum_y total_energy
0 0 200.27140673540634 200.27140673540634 0 114.44080386390719
100 0.065651839042395063 200.27398448420377 200.21279883267752 -2.7368379975495349e-09 114.44286223993218
200 0.13554222594861834 200.2787189443419 200.16478733672449 -2.3862139573310737e-08 114.44638288366799
300 0.20782066934053117 200.27662196360666 200.11112832367746 -3.9128951486583352e-07 114.44604319726992
400 0.2819976067396992 200.27053763300808 200.0576585065547 1.1353713538081456e-07 114.44325310149534
500 0.35427602313630163 200.26383836293428 200.00638660245093 -1.1441552989766013e-07 114.43937344140062
600 0.42339102622618874 200.2585914108987 199.95838265858458 3.1251423879274931e-08 114.43583108949856
700 0.49046942804458443 200.25744394434281 199.91525681005851 4.9305013319345115e-07 114.43458058136432
800 0.5502670758068442 200.25911243718647 199.87904812626007 8.5247201797589156e-09 114.43506712895092
900 0.60244367795568265 200.26119533100604 199.84745469488649 5.3952414151570149e-07 114.43587974105165
1000 0.63961254533996326 200.26257453686114 199.8245672553781 3.6562976399312497e-07 114.4362984659537
1100 0.68901116942772833 200.26413909240952 199.79371245502867 5.3321116175175653e-07 114.43647737647774
1200 0.74017777804144202 200.26545860472848 199.76154668338842 3.8930509205226116e-08 114.43653759995071
1300 0.78820953549096651 200.26599694173294 199.73103240590706 2.3824140885086997e-07 114.43645114317466
1400 0.83796262959097279 200.26631717255052 199.69941083056921 1.0759340668686779e-06 114.43639551899503
1500 0.88508979108269981 200.26655693482962 199.66945064582123 1.240826053600097e-06 114.43642589013598
1600 0.92646167656062872 200.26682081803114 199.64303123181651 1.00610383818589e-06 114.4365735598967
1700 0.97106331507801757 200.26721939343344 199.61443674283771 3.728652064050042e-07 114.43685915180221
1800 1.0134819625269054 200.2675712187197 199.58712281452034 5.1593941177707769e-07 114.43715509261146
1900 1.0553889378316836 200.26782126760094 199.5599767773034 1.4088929582711796e-06 114.43738767431648
2000 1.0976285615219379 200.26803674554725 199.53250611850149 1.7561496427065393e-06 114.43757002004173
2100 1.1420932915879995 200.26830467883832 199.50354015127337 7.1321682287850408e-07 114.4377622627629
2200 1.191692917127092 200.26872067866219 199.47124743308481 -1.28776639718442e-06 114.43804937672024
2300 1.2446982278943683 200.26911264736458 199.43670058435995 -3.8645220135080649e-06 114.43832252697885
2400 1.3010919538222014 200.26938073240035 199.3999495018908 -5.3638287980661836e-06 114.43852269130727
2500 1.3608341755601066 200.26967667062894 199.36114385839079 -4.6555093596856167e-06 114.4387251561967
2600 1.4221565192393204 200.2700635698701 199.32150229872582 -3.8268939273056191e-06 114.43900169695684
2700 1.4845622716133722 200.27038804562611 199.28134127861762 -2.9947005838470986e-06 114.43929101345954
2800 1.548107438382279 200.27072464085018 199.24066375407284 -2.1857724682994295e-06 114.43959288756059
2900 1.6135618247666914 200.27109228241042 199.19900591537862 -1.9285213260777923e-06 114.43993584328473
3000 1.6792368532364055 200.27153747485414 199.15747511104814 -2.9247101978602252e-06 114.4403219451664
3100 1.7453474820751684 200.27192898608024 199.11586674944934 -2.6833726729513785e-06 114.44068073328573
3200 1.811385757221718 200.27231274630134 199.07450582038058 -4.2426521781324666e-06 114.44101884104026
3300 1.8783991903651343 200.27277831864208 199.03276301534956 -5.6435474799498841e-06 114.44135619241317
3400 1.9450603651920904 200.27330396185562 198.99141106488813 -6.0854436551016633e-06 114.44168236027394
3500 2.0106867941882878 200.2738064296868 198.95073888220475 -4.7068477114220464e-06 114.44196928684232
3600 2.078394973498324 200.27426022620676 198.90868913903216 -6.134254537215611e-06 114.4422119213929
3700 2.1437690713613935 200.27461909454937 198.86791582603132 -7.9456091995888656e-06 114.44239618887717
3800 2.2030865970994644 200.27490109792541 198.83075192306924 -6.7611970525627285e-06 114.44254706483567
3900 2.2597959839686128 200.2751616603928 198.79508958261104 -5.4190438130152785e-06 114.44270161258628
4000 2.316941033209051 200.27543661264167 198.75905588002493 -2.8961579786601632e-06 114.44287901754545
4100 2.3789490318887254 200.27574918528163 198.71988183168818 -2.3523664784974585e-06 114.44308953790265
4200 2.4446279626381906 200.27607292159337 198.6783443766671 -3.5187112095158568e-06 114.44331208314595
4300 2.511572899825258 200.27638201275943 198.63600359951084 -5.3873659264791485e-06 114.44352552121671
4400 2.57953475595468 200.2766763688131 198.59305506427594 -7.7062289075557899e-06 114.44372987233795
4500 2.6465221406276185 200.27695697425258 198.55077342478882 -1.126395986639217e-05 114.44392805065138
4600 2.7107213274600634 200.2772402094036 198.51030006774874 -1.5956555770690883e-05 114.4441328056007
4700 2.7740970281756874 200.27753368793168 198.47036546850836 -1.7665048363424418e-05 114.44434846611631
4800 2.8390395369746271 200.27784576644251 198.42944113711116 -2.0286771758915023e-05 114.44457745060791
4900 2.9057740615107002 200.27816103098661 198.38736464593816 -2.1595921419037545e-05 114.44480619450624
5000 2.9734667482700887 200.27846994007621 198.34466753895117 -2.3830063113905453e-05 114.44502851358361
5100 3.0420235528731161 200.27877979723547 198.30143934888434 -2.3453283907293176e-05 114.44525050952208
5200 3.1076831427950369 200.27908078709424 198.2600820481556 -2.3928306488008033e-05 114.44546557831805
5300 3.1696402061298765 200.27936707987772 198.22110694946255 -2.3240937693236319e-05 114.44566933043647
5400 3.231341598310447 200.27966087299441 198.1823430642176 -2.4205776323338313e-05 114.44587778881697
5500 3.2947835278659818 200.27997460986916 198.14252763014144 -3.0027728625370287e-05 114.44609837767109
5600 3.3603130234311536 200.28030304877461 198.10142740282774 -3.4223923955578606e-05 114.44632764884415
5700 3.4267009141251967 200.28063753226672 198.05980006221927 -3.6059262209509058e-05 114.44655843003611
5800 3.4938314821110579 200.28098121470364 198.01771174213766 -3.5726851906892065e-05 114.44679292315313
5900 3.5607554124200029 200.28133924927684 197.97576185939931 -3.4527507544956926e-05 114.44703246674845
6000 3.6266969254766215 200.28171178911663 197.93444262854297 -3.294619699945045e-05 114.4472797467326
6100 3.6918975353618912 200.28209543475072 197.89361185883314 -2.9423733420186338e-05 114.44753596842557
6200 3.7574962098739788 200.28249259547343 197.85256724341946 -2.7491370307330953e-05 114.44780166407583
6300 3.8237945876299295 200.28290734972703 197.8111317455454 -2.8171181349012642e-05 114.44807929832558
6400 3.8915047511940819 200.2833505323386 197.76886821420584 -2.9441554050269048e-05 114.44837527012808
6500 3.9608001926461065 200.28382680169452 197.72566277140766 -2.7287115836882592e-05 114.4486912052607
6600 4.0271901874749476 200.28430267839315 197.68429052078869 -1.9867246385363302e-05 114.44900420467813
6700 4.0944254001693174 200.28479209916188 197.64238599462854 -1.9032596265677881e-05 114.44932440668553
6800 4.1653066866122437 200.28531833826287 197.59818162554527 -1.7092522495598672e-05 114.44966658808259
6900 4.2373435230962677 200.28586942684035 197.55322216147744 -1.5802359631722496e-05 114.45002264820377
7000 4.3072977243036474 200.28642605172743 197.50953781832627 -1.9226326529508952e-05 114.4503806338424
7100 4.3745130355901924 200.2869917578663 197.46756636876785 -2.2427829562188251e-05 114.450750128449
7200 4.4412485339658749 200.28758667344457 197.42591969005974 -2.3261094910687063e-05 114.45114516180557
7300 4.5081394598696667 200.28819940685145 197.38420648400174 -2.268683019712725e-05 114.45155647043367
7400 4.5765802894153556 200.28881140576584 197.34154254743137 -2.4270375349244588e-05 114.451968125614
7500 4.6462742947254503 200.28938593847442 197.29806886305306 -2.8432105737774549e-05 114.45234569516651
7600 4.7172132462727632 200.28988963993532 197.25371198175156 -3.5088082012357802e-05 114.4526595784109
7700 4.7888930731848367 200.29031025264482 197.2087110623267 -4.2444355658588506e-05 114.45289925777776
7800 4.8607220778397613 200.29066855214649 197.16342552879976 -4.7261650339081029e-05 114.45308371197385
7900 4.9307364450953681 200.29098345774702 197.11914250530674 -4.8379013077193278e-05 114.45323365864436
8000 5 200.29126191468518 197.07524054510546 -4.8328040799017202e-05 114.45335600121091
8100 5.0694758133926117 200.29158990840892 197.03126356294104 -4.9090235376469948e-05 114.45352001557541
8200 5.1393403098792945 200.29207277444857 196.98727687233486 -4.8201862461461076e-05 114.45381427900048
8300 5.2098014960551939 200.29276549165647 196.94325672545978 -4.4697852165542784e-05 114.45428441852013
