# step time dt cfl wall_time total_l2 rho_l2 rhou_l2 rhov_l2 rhow_l2 rhoE_l2 rho_reference_l2 rhou_reference_l2 rhov_reference_l2 rhow_reference_l2 rhoE_reference_l2 rho_normalized_l2 rhou_normalized_l2 rhov_normalized_l2 rhow_normalized_l2 rhoE_normalized_l2 rho_linf rhou_linf rhov_linf rhow_linf rhoE_linf rho_reference_linf rhou_reference_linf rhov_reference_linf rhow_reference_linf rhoE_reference_linf rho_normalized_linf rhou_normalized_linf rhov_normalized_linf rhow_normalized_linf rhoE_normalized_linf consecutive reconstruction_fallbacks riemann_fallbacks residual_checked stop_reason
16 0.0013024236748654203 8.0805297411489218e-05 0.20000000000000001 11.835096 11005.54560066161 261.25640329746562 2396.8597268367735 1421.0844996597243 0 24449.48869051542 nan nan nan nan nan nan nan nan nan nan 6075.3375489297032 53157.258794062276 34865.411999822034 0 584912.76988956926 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
17 0.0013832550547433827 8.0831379877962283e-05 0.20000000000000001 12.566732999999999 11092.864963249085 262.28815711171728 2413.7701369000415 1430.6916604366525 0 24643.78837528843 nan nan nan nan nan nan nan nan nan nan 6480.7082906883379 59649.233721816207 35142.851418412116 0 602825.75721608079 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
18 0.0014634982797895233 8.0243225046140547e-05 0.20000000000000001 13.281043 11101.334971674491 260.52643187844768 2410.1414253922917 1424.6114781714912 0 24663.576731503847 nan nan nan nan nan nan nan nan nan nan 7194.5465445632663 68325.534740720352 33696.002029958108 0 703843.61183396424 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
19 0.0015434385897686843 7.9940309979160962e-05 0.20000000000000001 14.020875999999999 11083.38611650185 259.51681755452898 2405.5916949236826 1411.873314356277 0 24624.370700593732 nan nan nan nan nan nan nan nan nan nan 7633.4267488491423 73900.307326339767 33165.950304181664 0 774985.58389362227 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
20 0.001623291633821455 7.985304405277065e-05 0.20000000000000001 14.747897 11191.478129855434 261.73685037181525 2427.4755092614628 1419.6818340312602 0 24865.021086224264 nan nan nan nan nan nan nan nan nan nan 7890.5683034543836 76932.344580568548 48672.045498305866 0 817105.60326739727 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
21 0.0017031807622635631 7.988912844210818e-05 0.20000000000000001 15.614680999999999 11191.741404602972 260.76680787667794 2422.7943128471297 1415.5156066058612 0 24866.317827425177 nan nan nan nan nan nan nan nan nan nan 7993.8505274774034 77731.580520632197 46357.947107464177 0 837923.83074211259 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
22 0.0017831690074546342 7.9988245191071013e-05 0.20000000000000001 16.325151999999999 11120.632458358205 258.72478623988547 2400.3975009843894 1411.7003592659501 0 24708.714794326144 nan nan nan nan nan nan nan nan nan nan 7930.7362096486286 76713.56279314225 42534.500966617532 0 836227.84085134906 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
23 0.0018632778932969574 8.0108885842323187e-05 0.20000000000000001 17.075222 11011.433027836842 257.05151634543779 2373.2428164331513 1405.2559405906893 0 24466.000601371441 nan nan nan nan nan nan nan nan nan nan 7730.8533402716057 74204.857411881152 37832.504430192857 0 816394.47286920808 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
24 0.0019434911472345539 8.0213253937596414e-05 0.20000000000000001 17.754788000000001 10946.134223379058 256.58658222640747 2359.3730308043159 1400.1760640370085 0 24320.696975995234 nan nan nan nan nan nan nan nan nan nan 7272.767240701467 68556.954433211911 32614.701930215866 0 761712.49813845358 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
25 0.0020237734645843549 8.0282317349801143e-05 0.20000000000000001 18.479301 10969.852780196334 257.43207210685853 2366.5119163312706 1398.4311803584569 0 24373.47103733525 nan nan nan nan nan nan nan nan nan nan 6792.1109100956201 62332.350182289723 33332.114850823637 0 665769.7478312843 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
